종목명,종목코드,시장,섹터코드,섹터명
셀트리온제약,068760,KOSDAQ,S06,바이오·헬스
신신제약,002800,KOSDAQ,S06,바이오·헬스
신일제약,012790,KOSDAQ,S06,바이오·헬스
신테카바이오,226330,KOSDAQ,S06,바이오·헬스
쎌바이오텍,049960,KOSDAQ,S06,바이오·헬스
씨티씨바이오,060590,KOSDAQ,S06,바이오·헬스
아리바이오랩,261780,KOSDAQ,S06,바이오·헬스
아이엠바이오로직스,493280,KOSDAQ,S06,바이오·헬스
알리코제약,260660,KOSDAQ,S06,바이오·헬스
알테오젠,196170,KOSDAQ,S06,바이오·헬스
알피바이오,314140,KOSDAQ,S06,바이오·헬스
압타바이오,293780,KOSDAQ,S06,바이오·헬스
애드바이오텍,179530,KOSDAQ,S06,바이오·헬스
에스바이오메딕스,304360,KOSDAQ,S06,바이오·헬스
에스엘에스바이오,246250,KOSDAQ,S06,바이오·헬스
에스지헬스케어,398120,KOSDAQ,S06,바이오·헬스
에이비엘바이오,298380,KOSDAQ,S06,바이오·헬스
에이프릴바이오,397030,KOSDAQ,S06,바이오·헬스
에임드바이오,0009K0,KOSDAQ,S06,바이오·헬스
엑세스바이오,950130,KOSDAQ,S06,바이오·헬스
엔바이오니아,317870,KOSDAQ,S06,바이오·헬스
엔젠바이오,354200,KOSDAQ,S06,바이오·헬스
엔케이젠바이오텍코리아,182400,KOSDAQ,S06,바이오·헬스
엘앤씨바이오,290650,KOSDAQ,S06,바이오·헬스
엘앤케이바이오,156100,KOSDAQ,S06,바이오·헬스
오상헬스케어,036220,KOSDAQ,S06,바이오·헬스
옵투스제약,131030,KOSDAQ,S06,바이오·헬스
와이바이오로직스,338840,KOSDAQ,S06,바이오·헬스
우리바이오,082850,KOSDAQ,S06,바이오·헬스
우정바이오,215380,KOSDAQ,S06,바이오·헬스
원바이오젠,307280,KOSDAQ,S06,바이오·헬스
위더스제약,330350,KOSDAQ,S06,바이오·헬스
유니온바이오메트릭스,203450,KOSDAQ,S06,바이오·헬스
유바이오로직스,206650,KOSDAQ,S06,바이오·헬스
이지바이오,353810,KOSDAQ,S06,바이오·헬스
인바이오,352940,KOSDAQ,S06,바이오·헬스
인트론바이오,048530,KOSDAQ,S06,바이오·헬스
인피니트헬스케어,071200,KOSDAQ,S06,바이오·헬스
일신바이오,068330,KOSDAQ,S06,바이오·헬스
전진바이오팜,110020,KOSDAQ,S06,바이오·헬스
제이투케이바이오,420570,KOSDAQ,S06,바이오·헬스
제이피아이헬스케어,0010V0,KOSDAQ,S06,바이오·헬스
조아제약,034940,KOSDAQ,S06,바이오·헬스
지투지바이오,456160,KOSDAQ,S06,바이오·헬스
진바이오텍,086060,KOSDAQ,S06,바이오·헬스
진양제약,007370,KOSDAQ,S06,바이오·헬스
차바이오텍,085660,KOSDAQ,S06,바이오·헬스
케이바이오랩스,038530,KOSDAQ,S06,바이오·헬스
케이엠제약,225430,KOSDAQ,S06,바이오·헬스
큐리옥스바이오시스템즈,445680,KOSDAQ,S06,바이오·헬스
클래시스,214150,KOSDAQ,S06,바이오·헬스
텔콘RF제약,200230,KOSDAQ,S06,바이오·헬스
티앤알바이오팹,246710,KOSDAQ,S06,바이오·헬스
티움바이오,321550,KOSDAQ,S06,바이오·헬스
파로스아이바이오,388870,KOSDAQ,S06,바이오·헬스
파마리서치,214450,KOSDAQ,S06,바이오·헬스
페니트리움바이오,187660,KOSDAQ,S06,바이오·헬스
프레스티지바이오로직스,334970,KOSDAQ,S06,바이오·헬스
프롬바이오,377220,KOSDAQ,S06,바이오·헬스
프리시젼바이오,335810,KOSDAQ,S06,바이오·헬스
피플바이오,304840,KOSDAQ,S06,바이오·헬스
한국유니온제약,080720,KOSDAQ,S06,바이오·헬스
한스바이오메드,042520,KOSDAQ,S06,바이오·헬스
현대바이오,048410,KOSDAQ,S06,바이오·헬스
현대바이오랜드,052260,KOSDAQ,S06,바이오·헬스
JW중외제약,001060,KOSPI,S06,바이오·헬스
JW중외제약2우B,001067,KOSPI,S06,바이오·헬스
JW중외제약우,001065,KOSPI,S06,바이오·헬스
SK바이오사이언스,302440,KOSPI,S06,바이오·헬스
SK바이오팜,326030,KOSPI,S06,바이오·헬스
경보제약,214390,KOSPI,S06,바이오·헬스
광동제약,009290,KOSPI,S06,바이오·헬스
국제약품,002720,KOSPI,S06,바이오·헬스
대웅제약,069620,KOSPI,S06,바이오·헬스
대원제약,003220,KOSPI,S06,바이오·헬스
동성제약,002210,KOSPI,S06,바이오·헬스
명문제약,017180,KOSPI,S06,바이오·헬스
명인제약,317450,KOSPI,S06,바이오·헬스
바이오노트,377740,KOSPI,S06,바이오·헬스
삼성바이오로직스,207940,KOSPI,S06,바이오·헬스
삼성제약,001360,KOSPI,S06,바이오·헬스
삼양바이오팜,0120G0,KOSPI,S06,바이오·헬스
삼일제약,000520,KOSPI,S06,바이오·헬스
삼진제약,005500,KOSPI,S06,바이오·헬스
셀트리온,068270,KOSPI,S06,바이오·헬스
신풍제약,019170,KOSPI,S06,바이오·헬스
신풍제약우,019175,KOSPI,S06,바이오·헬스
에스디바이오센서,137310,KOSPI,S06,바이오·헬스
에이프로젠바이오로직스,003060,KOSPI,S06,바이오·헬스
오리엔트바이오,002630,KOSPI,S06,바이오·헬스
유나이티드제약,033270,KOSPI,S06,바이오·헬스
유유제약,000220,KOSPI,S06,바이오·헬스
유유제약1우,000225,KOSPI,S06,바이오·헬스
유유제약2우B,000227,KOSPI,S06,바이오·헬스
유한양행,000100,KOSPI,S06,바이오·헬스
유한양행우,000105,KOSPI,S06,바이오·헬스
이연제약,102460,KOSPI,S06,바이오·헬스
인바이오젠,101140,KOSPI,S06,바이오·헬스
일동제약,249420,KOSPI,S06,바이오·헬스
종근당바이오,063160,KOSPI,S06,바이오·헬스
차AI헬스케어,025620,KOSPI,S06,바이오·헬스
프레스티지바이오파마,950210,KOSPI,S06,바이오·헬스
하나제약,293480,KOSPI,S06,바이오·헬스
한올바이오파마,009420,KOSPI,S06,바이오·헬스
환인제약,016580,KOSPI,S06,바이오·헬스
넥슨게임즈,225570,KOSDAQ,S07,플랫폼·인터넷
심플랫폼,444530,KOSDAQ,S07,플랫폼·인터넷
엠게임,058630,KOSDAQ,S07,플랫폼·인터넷
위메이드,112040,KOSDAQ,S07,플랫폼·인터넷
위메이드맥스,101730,KOSDAQ,S07,플랫폼·인터넷
위메이드플레이,123420,KOSDAQ,S07,플랫폼·인터넷
카카오게임즈,293490,KOSDAQ,S07,플랫폼·인터넷
컴투스,078340,KOSDAQ,S07,플랫폼·인터넷
컴투스홀딩스,063080,KOSDAQ,S07,플랫폼·인터넷
패션플랫폼,225590,KOSDAQ,S07,플랫폼·인터넷
펄어비스,263750,KOSDAQ,S07,플랫폼·인터넷
더블유게임즈,192080,KOSPI,S07,플랫폼·인터넷
디앤디플랫폼리츠,377190,KOSPI,S07,플랫폼·인터넷
카카오,035720,KOSPI,S07,플랫폼·인터넷
크래프톤,259960,KOSPI,S07,플랫폼·인터넷
GH신소재,130500,KOSDAQ,S08,화학·소재
금강철강,053260,KOSDAQ,S08,화학·소재
나노신소재,121600,KOSDAQ,S08,화학·소재
나노실리칸첨단소재,286750,KOSDAQ,S08,화학·소재
대진첨단소재,393970,KOSDAQ,S08,화학·소재
삼현철강,017480,KOSDAQ,S08,화학·소재
오성첨단소재,052420,KOSDAQ,S08,화학·소재
이녹스첨단소재,272290,KOSDAQ,S08,화학·소재
이브이첨단소재,131400,KOSDAQ,S08,화학·소재
중앙첨단소재,051980,KOSDAQ,S08,화학·소재
크리스탈신소재,900250,KOSDAQ,S08,화학·소재
한국첨단소재,062970,KOSDAQ,S08,화학·소재
한울소재과학,091440,KOSDAQ,S08,화학·소재
한일화학,007770,KOSDAQ,S08,화학·소재
HS효성첨단소재,298050,KOSPI,S08,화학·소재
LG화학,051910,KOSPI,S08,화학·소재
LG화학우,051915,KOSPI,S08,화학·소재
PI첨단소재,178920,KOSPI,S08,화학·소재
POSCO홀딩스,005490,KOSPI,S08,화학·소재
